Column1,Country,Year,Session number,Vote,Overall vote result,Month,Text_number,In favour,Against,Abstaining,Text title,Type,Topic,Main sponsors,Spochina,OIC,EU,WEOG,LMG,AfrU,G7,G20,Chinainfav,Chinagainst,ODI_MOFCOM,BU_ODA,AEI_FDI,FT_ODI
11,Argentina,2021,HRC-46,In favour,In favour,MAR,46/5,30,15,2,The negative impact of unilateral coercive measures on the enjoyment of human rights,Thematic - Cross-Cutting/Other,Unilateral Coercive Measures,"Azerbaijan (NAM, except Colombia and Peru)",0,0,0,0,0,0,0,1,0,0,,,,
12,Argentina,2021,HRC-46,In favour,In favour,MAR,46/8,28,14,4,"Effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights","Thematic - Economic, Social and Cultural Rights",Foreign Debt,Cuba,0,0,0,0,0,0,0,1,0,0,,,,
239,Bahrain,2021,HRC-46,Abstaining,In favour,MAR,46/1,22,11,14,"Promoting reconciliation, accountability and human rights in Sri Lanka",Country - Situations,Sri Lanka,"Canada, Germany, Malawi, Montenegro, North Macedonia, United",0,1,0,0,0,0,0,0,0,0,,,,
240,Bahrain,2021,HRC-46,In favour,In favour,MAR,46/11,31,14,2,"The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights, and the importance of improving international cooperation",Thematic - Cross-Cutting/Other,Non-Repatriation of Funds,Cameroon (African Group),0,1,0,0,0,0,0,0,0,0,,,,
241,Bahrain,2021,HRC-46,In favour,In favour,MAR,46/13,26,15,6,Promoting mutually beneficial cooperation in the field of human rights,Thematic - Cross-Cutting/Other,Cooperation,China,1,1,0,0,0,0,0,0,0,0,,,,
242,Bahrain,2021,HRC-46,In favour,In favour,MAR,46/18,21,12,14,Situation of human rights in the Islamic Republic of Iran,Country - Situations,Islamic Republic of Iran,"Iceland, North Macedonia, Republic of Moldova, United Kingdom",0,1,0,0,0,0,0,0,0,0,,,,
243,Bahrain,2021,HRC-46,Abstaining,In favour,MAR,46/20,20,7,20,Situation of human rights in Belarus in the run-up to the 2020 presidential election and in its aftermath,Country - Situations,Belarus,Portugal (European Union),0,1,0,0,0,0,0,0,0,0,,,,
244,Bahrain,2021,HRC-46,Abstaining,In favour,Mar,46/22,27,6,13,Situation of human rights in the Syrian Arab Republic,Country - Situations,Syrian Arab Republic,"France, Germany, Italy, Jordan, Kuwait, Netherlands, Qatar, Turkey, United Kingdom",0,1,0,0,0,0,0,0,0,0,,,,
245,Bahrain,2021,HRC-46,Against,In favour,Mar,46/23,20,16,11,Situation of human rights in South Sudan,Country - Situations,South Sudan,"Albania, Norway, United Kingdom, United States",0,1,0,0,0,0,0,0,0,0,,,,
246,Bahrain,2021,HRC-46,In favour,In favour,Mar,46/25,42,3,2,Right of the Palestinian people to self-determination,Country - Situations,Self-determination,Pakistan (OIC),0,1,0,0,0,0,0,0,0,0,,,,
247,Bahrain,2021,HRC-46,In favour,In favour,Mar,46/26,35,3,8,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan",Country - Situations,Israeli settlements,Pakistan (OIC),0,1,0,0,0,0,0,0,0,0,,,,
248,Bahrain,2021,HRC-46,Abstaining,In favour,Mar,46/30,19,8,19,Cooperation with Georgia,Country - Technical Support/Capacity Building,Georgia,Georgia,0,1,0,0,0,0,0,0,0,0,,,,
249,Bahrain,2021,HRC-46,In favour,In favour,MAR,46/5,30,15,2,The negative impact of unilateral coercive measures on the enjoyment of human rights,Thematic - Cross-Cutting/Other,Unilateral Coercive Measures,"Azerbaijan (NAM, except Colombia and Peru)",0,1,0,0,0,0,0,0,0,0,,,,
250,Bahrain,2021,HRC-46,In favour,In favour,MAR,46/8,28,14,4,"Effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights","Thematic - Economic, Social and Cultural Rights",Foreign Debt,Cuba,0,1,0,0,0,0,0,0,0,0,,,,
524,Bolivia,2021,HRC-46,Against,In favour,MAR,46/1,22,11,14,"Promoting reconciliation, accountability and human rights in Sri Lanka",Country - Situations,Sri Lanka,"Canada, Germany, Malawi, Montenegro, North Macedonia, United",0,0,0,0,1,0,0,0,0,0,,,,
525,Bolivia,2021,HRC-46,In favour,In favour,MAR,46/11,31,14,2,"The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights, and the importance of improving international cooperation",Thematic - Cross-Cutting/Other,Non-Repatriation of Funds,Cameroon (African Group),0,0,0,0,1,0,0,0,0,0,,,,
526,Bolivia,2021,HRC-46,In favour,In favour,MAR,46/13,26,15,6,Promoting mutually beneficial cooperation in the field of human rights,Thematic - Cross-Cutting/Other,Cooperation,China,1,0,0,0,1,0,0,0,0,0,,,,
527,Bolivia,2021,HRC-46,Against,In favour,MAR,46/18,21,12,14,Situation of human rights in the Islamic Republic of Iran,Country - Situations,Islamic Republic of Iran,"Iceland, North Macedonia, Republic of Moldova, United Kingdom",0,0,0,0,1,0,0,0,0,0,,,,
528,Bolivia,2021,HRC-46,Against,In favour,MAR,46/2,20,8,18,Promotion and protection of human rights in Nicaragua,Country - Situations,Nicaragua,"Brazil, Canada, Chile, Colombia, Costa Rica, Ecuador, Paraguay, Peru",0,0,0,0,1,0,0,0,0,0,,,,
529,Bolivia,2021,HRC-46,Against,In favour,MAR,46/20,20,7,20,Situation of human rights in Belarus in the run-up to the 2020 presidential election and in its aftermath,Country - Situations,Belarus,Portugal (European Union),0,0,0,0,1,0,0,0,0,0,,,,
530,Bolivia,2021,HRC-46,Against,In favour,Mar,46/22,27,6,13,Situation of human rights in the Syrian Arab Republic,Country - Situations,Syrian Arab Republic,"France, Germany, Italy, Jordan, Kuwait, Netherlands, Qatar, Turkey, United Kingdom",0,0,0,0,1,0,0,0,0,0,,,,
531,Bolivia,2021,HRC-46,Against,In favour,Mar,46/23,20,16,11,Situation of human rights in South Sudan,Country - Situations,South Sudan,"Albania, Norway, United Kingdom, United States",0,0,0,0,1,0,0,0,0,0,,,,
532,Bolivia,2021,HRC-46,In favour,In favour,Mar,46/25,42,3,2,Right of the Palestinian people to self-determination,Country - Situations,Self-determination,Pakistan (OIC),0,0,0,0,1,0,0,0,0,0,,,,
533,Bolivia,2021,HRC-46,In favour,In favour,Mar,46/26,35,3,8,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan",Country - Situations,Israeli settlements,Pakistan (OIC),0,0,0,0,1,0,0,0,0,0,,,,
534,Bolivia,2021,HRC-46,Against,In favour,Mar,46/30,19,8,19,Cooperation with Georgia,Country - Technical Support/Capacity Building,Georgia,Georgia,0,0,0,0,1,0,0,0,0,0,,,,
535,Bolivia,2021,HRC-46,In favour,In favour,MAR,46/5,30,15,2,The negative impact of unilateral coercive measures on the enjoyment of human rights,Thematic - Cross-Cutting/Other,Unilateral Coercive Measures,"Azerbaijan (NAM, except Colombia and Peru)",0,0,0,0,1,0,0,0,0,0,,,,
536,Bolivia,2021,HRC-46,In favour,In favour,MAR,46/8,28,14,4,"Effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights","Thematic - Economic, Social and Cultural Rights",Foreign Debt,Cuba,0,0,0,0,1,0,0,0,0,0,,,,
682,Brazil,2021,HRC-46,In favour,In favour,MAR,46/1,22,11,14,"Promoting reconciliation, accountability and human rights in Sri Lanka",Country - Situations,Sri Lanka,"Canada, Germany, Malawi, Montenegro, North Macedonia, United",0,0,0,0,0,0,0,1,0,0,,,,
683,Brazil,2021,HRC-46,In favour,In favour,MAR,46/11,31,14,2,"The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights, and the importance of improving international cooperation",Thematic - Cross-Cutting/Other,Non-Repatriation of Funds,Cameroon (African Group),0,0,0,0,0,0,0,1,0,0,,,,
684,Brazil,2021,HRC-46,In favour,In favour,MAR,46/13,26,15,6,Promoting mutually beneficial cooperation in the field of human rights,Thematic - Cross-Cutting/Other,Cooperation,China,1,0,0,0,0,0,0,1,0,0,,,,
685,Brazil,2021,HRC-46,Abstaining,In favour,MAR,46/18,21,12,14,Situation of human rights in the Islamic Republic of Iran,Country - Situations,Islamic Republic of Iran,"Iceland, North Macedonia, Republic of Moldova, United Kingdom",0,0,0,0,0,0,0,1,0,0,,,,
686,Brazil,2021,HRC-46,In favour,In favour,MAR,46/2,20,8,18,Promotion and protection of human rights in Nicaragua,Country - Situations,Nicaragua,"Brazil, Canada, Chile, Colombia, Costa Rica, Ecuador, Paraguay, Peru",0,0,0,0,0,0,0,1,0,0,,,,
687,Brazil,2021,HRC-46,In favour,In favour,MAR,46/20,20,7,20,Situation of human rights in Belarus in the run-up to the 2020 presidential election and in its aftermath,Country - Situations,Belarus,Portugal (European Union),0,0,0,0,0,0,0,1,0,0,,,,
688,Brazil,2021,HRC-46,In favour,In favour,MAR,46/22,27,6,13,Situation of human rights in the Syrian Arab Republic,Country - Situations,Syrian Arab Republic,"France, Germany, Italy, Jordan, Kuwait, Netherlands, Qatar, Turkey, United Kingdom",0,0,0,0,0,0,0,1,0,0,,,,
689,Brazil,2021,HRC-46,Abstaining,In favour,Mar,46/23,20,16,11,Situation of human rights in South Sudan,Country - Situations,South Sudan,"Albania, Norway, United Kingdom, United States",0,0,0,0,0,0,0,1,0,0,,,,
690,Brazil,2021,HRC-46,In favour,In favour,Mar,46/25,42,3,2,Right of the Palestinian people to self-determination,Country - Situations,Self-determination,Pakistan (OIC),0,0,0,0,0,0,0,1,0,0,,,,
691,Brazil,2021,HRC-46,Abstaining,In favour,Mar,46/26,35,3,8,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan",Country - Situations,Israeli settlements,Pakistan (OIC),0,0,0,0,0,0,0,1,0,0,,,,
692,Brazil,2021,HRC-46,Abstaining,In favour,Mar,46/30,19,8,19,Cooperation with Georgia,Country - Technical Support/Capacity Building,Georgia,Georgia,0,0,0,0,0,0,0,1,0,0,,,,
693,Brazil,2021,HRC-46,Against,In favour,MAR,46/5,30,15,2,The negative impact of unilateral coercive measures on the enjoyment of human rights,Thematic - Cross-Cutting/Other,Unilateral Coercive Measures,"Azerbaijan (NAM, except Colombia and Peru)",0,0,0,0,0,0,0,1,0,0,,,,
694,Brazil,2021,HRC-46,Against,In favour,MAR,46/8,28,14,4,"Effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights","Thematic - Economic, Social and Cultural Rights",Foreign Debt,Cuba,0,0,0,0,0,0,0,1,0,0,,,,
946,Bulgaria,2021,HRC-46,In favour,In favour,MAR,46/1,22,11,14,"Promoting reconciliation, accountability and human rights in Sri Lanka",Country - Situations,Sri Lanka,"Canada, Germany, Malawi, Montenegro, North Macedonia, United",0,0,1,0,0,0,0,1,0,0,,,,
947,Bulgaria,2021,HRC-46,Against,In favour,MAR,46/11,31,14,2,"The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights, and the importance of improving international cooperation",Thematic - Cross-Cutting/Other,Non-Repatriation of Funds,Cameroon (African Group),0,0,1,0,0,0,0,1,0,0,,,,
948,Bulgaria,2021,HRC-46,Against,In favour,MAR,46/13,26,15,6,Promoting mutually beneficial cooperation in the field of human rights,Thematic - Cross-Cutting/Other,Cooperation,China,1,0,1,0,0,0,0,1,0,0,,,,
949,Bulgaria,2021,HRC-46,In favour,In favour,MAR,46/18,21,12,14,Situation of human rights in the Islamic Republic of Iran,Country - Situations,Islamic Republic of Iran,"Iceland, North Macedonia, Republic of Moldova, United Kingdom",0,0,1,0,0,0,0,1,0,0,,,,
950,Bulgaria,2021,HRC-46,In favour,In favour,MAR,46/2,20,8,18,Promotion and protection of human rights in Nicaragua,Country - Situations,Nicaragua,"Brazil, Canada, Chile, Colombia, Costa Rica, Ecuador, Paraguay, Peru",0,0,1,0,0,0,0,1,0,0,,,,
951,Bulgaria,2021,HRC-46,In favour,In favour,MAR,46/20,20,7,20,Situation of human rights in Belarus in the run-up to the 2020 presidential election and in its aftermath,Country - Situations,Belarus,Portugal (European Union),0,0,1,0,0,0,0,1,0,0,,,,
952,Bulgaria,2021,HRC-46,In favour,In favour,MAR,46/22,27,6,13,Situation of human rights in the Syrian Arab Republic,Country - Situations,Syrian Arab Republic,"France, Germany, Italy, Jordan, Kuwait, Netherlands, Qatar, Turkey, United Kingdom",0,0,1,0,0,0,0,1,0,0,,,,
953,Bulgaria,2021,HRC-46,In favour,In favour,Mar,46/23,20,16,11,Situation of human rights in South Sudan,Country - Situations,South Sudan,"Albania, Norway, United Kingdom, United States",0,0,1,0,0,0,0,1,0,0,,,,
954,Bulgaria,2021,HRC-46,In favour,In favour,Mar,46/25,42,3,2,Right of the Palestinian people to self-determination,Country - Situations,Self-determination,Pakistan (OIC),0,0,1,0,0,0,0,1,0,0,,,,
955,Bulgaria,2021,HRC-46,Abstaining,In favour,Mar,46/26,35,3,8,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan",Country - Situations,Israeli settlements,Pakistan (OIC),0,0,1,0,0,0,0,1,0,0,,,,
956,Bulgaria,2021,HRC-46,In favour,In favour,Mar,46/30,19,8,19,Cooperation with Georgia,Country - Technical Support/Capacity Building,Georgia,Georgia,0,0,1,0,0,0,0,1,0,0,,,,
957,Bulgaria,2021,HRC-46,Against,In favour,MAR,46/5,30,15,2,The negative impact of unilateral coercive measures on the enjoyment of human rights,Thematic - Cross-Cutting/Other,Unilateral Coercive Measures,"Azerbaijan (NAM, except Colombia and Peru)",0,0,1,0,0,0,0,1,0,0,,,,
958,Bulgaria,2021,HRC-46,Against,In favour,MAR,46/8,28,14,4,"Effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights","Thematic - Economic, Social and Cultural Rights",Foreign Debt,Cuba,0,0,1,0,0,0,0,1,0,0,,,,
1223,China,2021,HRC-46,Against,In favour,MAR,46/1,22,11,14,"Promoting reconciliation, accountability and human rights in Sri Lanka",Country - Situations,Sri Lanka,"Canada, Germany, Malawi, Montenegro, North Macedonia, United",0,0,0,0,1,0,0,1,0,1,,,,
1224,China,2021,HRC-46,In favour,In favour,MAR,46/11,31,14,2,"The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights, and the importance of improving international cooperation",Thematic - Cross-Cutting/Other,Non-Repatriation of Funds,Cameroon (African Group),0,0,0,0,1,0,0,1,1,0,,,,
1225,China,2021,HRC-46,In favour,In favour,MAR,46/13,26,15,6,Promoting mutually beneficial cooperation in the field of human rights,Thematic - Cross-Cutting/Other,Cooperation,China,1,0,0,0,1,0,0,1,1,0,,,,
1226,China,2021,HRC-46,Against,In favour,MAR,46/18,21,12,14,Situation of human rights in the Islamic Republic of Iran,Country - Situations,Islamic Republic of Iran,"Iceland, North Macedonia, Republic of Moldova, United Kingdom",0,0,0,0,1,0,0,1,0,1,,,,
1227,China,2021,HRC-46,Against,In favour,MAR,46/2,20,8,18,Promotion and protection of human rights in Nicaragua,Country - Situations,Nicaragua,"Brazil, Canada, Chile, Colombia, Costa Rica, Ecuador, Paraguay, Peru",0,0,0,0,1,0,0,1,0,1,,,,
1228,China,2021,HRC-46,Against,In favour,MAR,46/20,20,7,20,Situation of human rights in Belarus in the run-up to the 2020 presidential election and in its aftermath,Country - Situations,Belarus,Portugal (European Union),0,0,0,0,1,0,0,1,0,1,,,,
1229,China,2021,HRC-46,Against,In favour,Mar,46/22,27,6,13,Situation of human rights in the Syrian Arab Republic,Country - Situations,Syrian Arab Republic,"France, Germany, Italy, Jordan, Kuwait, Netherlands, Qatar, Turkey, United Kingdom",0,0,0,0,1,0,0,1,0,1,,,,
1230,China,2021,HRC-46,Against,In favour,Mar,46/23,20,16,11,Situation of human rights in South Sudan,Country - Situations,South Sudan,"Albania, Norway, United Kingdom, United States",0,0,0,0,1,0,0,1,0,1,,,,
1231,China,2021,HRC-46,In favour,In favour,Mar,46/25,42,3,2,Right of the Palestinian people to self-determination,Country - Situations,Self-determination,Pakistan (OIC),0,0,0,0,1,0,0,1,1,0,,,,
1232,China,2021,HRC-46,In favour,In favour,Mar,46/26,35,3,8,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan",Country - Situations,Israeli settlements,Pakistan (OIC),0,0,0,0,1,0,0,1,1,0,,,,
1233,China,2021,HRC-46,Against,In favour,Mar,46/30,19,8,19,Cooperation with Georgia,Country - Technical Support/Capacity Building,Georgia,Georgia,0,0,0,0,1,0,0,1,0,1,,,,
1234,China,2021,HRC-46,In favour,In favour,MAR,46/5,30,15,2,The negative impact of unilateral coercive measures on the enjoyment of human rights,Thematic - Cross-Cutting/Other,Unilateral Coercive Measures,"Azerbaijan (NAM, except Colombia and Peru)",0,0,0,0,1,0,0,1,1,0,,,,
1235,China,2021,HRC-46,In favour,In favour,MAR,46/8,28,14,4,"Effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights","Thematic - Economic, Social and Cultural Rights",Foreign Debt,Cuba,0,0,0,0,1,0,0,1,1,0,,,,
1552,Cuba,2021,HRC-46,Against,In favour,MAR,46/1,22,11,14,"Promoting reconciliation, accountability and human rights in Sri Lanka",Country - Situations,Sri Lanka,"Canada, Germany, Malawi, Montenegro, North Macedonia, United",0,0,0,0,1,0,0,0,0,0,,,,
1553,Cuba,2021,HRC-46,In favour,In favour,MAR,46/11,31,14,2,"The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights, and the importance of improving international cooperation",Thematic - Cross-Cutting/Other,Non-Repatriation of Funds,Cameroon (African Group),0,0,0,0,1,0,0,0,0,0,,,,
1554,Cuba,2021,HRC-46,In favour,In favour,MAR,46/13,26,15,6,Promoting mutually beneficial cooperation in the field of human rights,Thematic - Cross-Cutting/Other,Cooperation,China,1,0,0,0,1,0,0,0,0,0,,,,
1555,Cuba,2021,HRC-46,Against,In favour,MAR,46/18,21,12,14,Situation of human rights in the Islamic Republic of Iran,Country - Situations,Islamic Republic of Iran,"Iceland, North Macedonia, Republic of Moldova, United Kingdom",0,0,0,0,1,0,0,0,0,0,,,,
1556,Cuba,2021,HRC-46,Against,In favour,MAR,46/2,20,8,18,Promotion and protection of human rights in Nicaragua,Country - Situations,Nicaragua,"Brazil, Canada, Chile, Colombia, Costa Rica, Ecuador, Paraguay, Peru",0,0,0,0,1,0,0,0,0,0,,,,
1557,Cuba,2021,HRC-46,Against,In favour,MAR,46/20,20,7,20,Situation of human rights in Belarus in the run-up to the 2020 presidential election and in its aftermath,Country - Situations,Belarus,Portugal (European Union),0,0,0,0,1,0,0,0,0,0,,,,
1558,Cuba,2021,HRC-46,Against,In favour,Mar,46/22,27,6,13,Situation of human rights in the Syrian Arab Republic,Country - Situations,Syrian Arab Republic,"France, Germany, Italy, Jordan, Kuwait, Netherlands, Qatar, Turkey, United Kingdom",0,0,0,0,1,0,0,0,0,0,,,,
1559,Cuba,2021,HRC-46,Against,In favour,Mar,46/23,20,16,11,Situation of human rights in South Sudan,Country - Situations,South Sudan,"Albania, Norway, United Kingdom, United States",0,0,0,0,1,0,0,0,0,0,,,,
1560,Cuba,2021,HRC-46,In favour,In favour,Mar,46/25,42,3,2,Right of the Palestinian people to self-determination,Country - Situations,Self-determination,Pakistan (OIC),0,0,0,0,1,0,0,0,0,0,,,,
1561,Cuba,2021,HRC-46,In favour,In favour,Mar,46/26,35,3,8,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan",Country - Situations,Israeli settlements,Pakistan (OIC),0,0,0,0,1,0,0,0,0,0,,,,
1562,Cuba,2021,HRC-46,Against,In favour,Mar,46/30,19,8,19,Cooperation with Georgia,Country - Technical Support/Capacity Building,Georgia,Georgia,0,0,0,0,1,0,0,0,0,0,,,,
1563,Cuba,2021,HRC-46,In favour,In favour,MAR,46/5,30,15,2,The negative impact of unilateral coercive measures on the enjoyment of human rights,Thematic - Cross-Cutting/Other,Unilateral Coercive Measures,"Azerbaijan (NAM, except Colombia and Peru)",0,0,0,0,1,0,0,0,0,0,,,,
1564,Cuba,2021,HRC-46,In favour,In favour,MAR,46/8,28,14,4,"Effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights","Thematic - Economic, Social and Cultural Rights",Foreign Debt,Cuba,0,0,0,0,1,0,0,0,0,0,,,,
1875,Czech Republic,2021,HRC-46,In favour,In favour,MAR,46/1,22,11,14,"Promoting reconciliation, accountability and human rights in Sri Lanka",Country - Situations,Sri Lanka,"Canada, Germany, Malawi, Montenegro, North Macedonia, United",0,0,0,0,0,0,0,0,0,0,,,,
1876,Czech Republic,2021,HRC-46,Against,In favour,MAR,46/11,31,14,2,"The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights, and the importance of improving international cooperation",Thematic - Cross-Cutting/Other,Non-Repatriation of Funds,Cameroon (African Group),0,0,0,0,0,0,0,0,0,0,,,,
1877,Czech Republic,2021,HRC-46,Against,In favour,MAR,46/13,26,15,6,Promoting mutually beneficial cooperation in the field of human rights,Thematic - Cross-Cutting/Other,Cooperation,China,1,0,0,0,0,0,0,0,0,0,,,,
1878,Czech Republic,2021,HRC-46,In favour,In favour,MAR,46/18,21,12,14,Situation of human rights in the Islamic Republic of Iran,Country - Situations,Islamic Republic of Iran,"Iceland, North Macedonia, Republic of Moldova, United Kingdom",0,0,0,0,0,0,0,0,0,0,,,,
1879,Czech Republic,2021,HRC-46,In favour,In favour,MAR,46/2,20,8,18,Promotion and protection of human rights in Nicaragua,Country - Situations,Nicaragua,"Brazil, Canada, Chile, Colombia, Costa Rica, Ecuador, Paraguay, Peru",0,0,0,0,0,0,0,0,0,0,,,,
1880,Czech Republic,2021,HRC-46,In favour,In favour,MAR,46/20,20,7,20,Situation of human rights in Belarus in the run-up to the 2020 presidential election and in its aftermath,Country - Situations,Belarus,Portugal (European Union),0,0,0,0,0,0,0,0,0,0,,,,
1881,Czech Republic,2021,HRC-46,In favour,In favour,MAR,46/22,27,6,13,Situation of human rights in the Syrian Arab Republic,Country - Situations,Syrian Arab Republic,"France, Germany, Italy, Jordan, Kuwait, Netherlands, Qatar, Turkey, United Kingdom",0,0,0,0,0,0,0,0,0,0,,,,
1882,Czech Republic,2021,HRC-46,In favour,In favour,Mar,46/23,20,16,11,Situation of human rights in South Sudan,Country - Situations,South Sudan,"Albania, Norway, United Kingdom, United States",0,0,0,0,0,0,0,0,0,0,,,,
1883,Czech Republic,2021,HRC-46,Against,In favour,Mar,46/25,42,3,2,Right of the Palestinian people to self-determination,Country - Situations,Self-determination,Pakistan (OIC),0,0,0,0,0,0,0,0,0,0,,,,
1884,Czech Republic,2021,HRC-46,Against,In favour,Mar,46/26,35,3,8,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan",Country - Situations,Israeli settlements,Pakistan (OIC),0,0,0,0,0,0,0,0,0,0,,,,
1885,Czech Republic,2021,HRC-46,In favour,In favour,Mar,46/30,19,8,19,Cooperation with Georgia,Country - Technical Support/Capacity Building,Georgia,Georgia,0,0,0,0,0,0,0,0,0,0,,,,
1886,Czech Republic,2021,HRC-46,Against,In favour,MAR,46/5,30,15,2,The negative impact of unilateral coercive measures on the enjoyment of human rights,Thematic - Cross-Cutting/Other,Unilateral Coercive Measures,"Azerbaijan (NAM, except Colombia and Peru)",0,0,0,0,0,0,0,0,0,0,,,,
1887,Czech Republic,2021,HRC-46,Against,In favour,MAR,46/8,28,14,4,"Effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights","Thematic - Economic, Social and Cultural Rights",Foreign Debt,Cuba,0,0,0,0,0,0,0,0,0,0,,,,
1998,Gabon,2021,HRC-46,Abstaining,In favour,MAR,46/1,22,11,14,"Promoting reconciliation, accountability and human rights in Sri Lanka",Country - Situations,Sri Lanka,"Canada, Germany, Malawi, Montenegro, North Macedonia, United",0,1,0,0,0,1,0,0,0,0,,,,
1999,Gabon,2021,HRC-46,In favour,In favour,MAR,46/11,31,14,2,"The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights, and the importance of improving international cooperation",Thematic - Cross-Cutting/Other,Non-Repatriation of Funds,Cameroon (African Group),0,1,0,0,0,1,0,0,0,0,,,,
2000,Gabon,2021,HRC-46,In favour,In favour,MAR,46/13,26,15,6,Promoting mutually beneficial cooperation in the field of human rights,Thematic - Cross-Cutting/Other,Cooperation,China,1,1,0,0,0,1,0,0,0,0,,,,
